group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:e5f919c7b1eff9c40af08d5ea43be727,1,Cylinder32241332,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32241332.Cylinder32241332,/Script/Engine.StaticMeshActor,e5f919c7b1eff9c40af08d5ea43be727,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e61ae11be755f7ed345832c24f9af11b,1,Cylinder32241567,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32241567.Cylinder32241567,/Script/Engine.StaticMeshActor,e61ae11be755f7ed345832c24f9af11b,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e640a32afb6494c75dc20575cb157abc,1,Cylinder32241158,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32241158.Cylinder32241158,/Script/Engine.StaticMeshActor,e640a32afb6494c75dc20575cb157abc,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e64871b8ad1242450c46c948457d9dab,1,Cylinder32238915,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238915.Cylinder32238915,/Script/Engine.StaticMeshActor,e64871b8ad1242450c46c948457d9dab,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e6539ccb3135e351801744cf8cec1bd6,1,Cylinder32238929,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238929.Cylinder32238929,/Script/Engine.StaticMeshActor,e6539ccb3135e351801744cf8cec1bd6,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e662cd22139ddef728dbe9182eae8e0e,1,Cylinder32239279,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239279.Cylinder32239279,/Script/Engine.StaticMeshActor,e662cd22139ddef728dbe9182eae8e0e,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e66a5c96602761da6aa0e03b63fc73d6,1,Cylinder32238260,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238260.Cylinder32238260,/Script/Engine.StaticMeshActor,e66a5c96602761da6aa0e03b63fc73d6,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e6a1a091689e291026f6fe299333218b,1,Cylinder32240130,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32240130.Cylinder32240130,/Script/Engine.StaticMeshActor,e6a1a091689e291026f6fe299333218b,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e6a5d561d937a4a54e772a3fa30fe229,1,Cylinder32238178,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238178.Cylinder32238178,/Script/Engine.StaticMeshActor,e6a5d561d937a4a54e772a3fa30fe229,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:e6c3b82b01f01322251ff15c178b0da5,1,Cylinder32237464,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237464.Cylinder32237464,/Script/Engine.StaticMeshActor,e6c3b82b01f01322251ff15c178b0da5,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
